Contract_link,Contract,name,txn,txn_link,startBlock
https://ftmscan.com/token/0xe1146b9ac456fcbb60644c36fd3f868a9072fc6e,0xe1146b9ac456fcbb60644c36fd3f868a9072fc6e,Fantom Finance: fBTC Token,0x508fce375e5b7ac9bcb56d8df0a93a93cfddc7f33871b6dc3c8b869ad638b37a,https://ftmscan.com/tx/0x508fce375e5b7ac9bcb56d8df0a93a93cfddc7f33871b6dc3c8b869ad638b37a,1412964
https://ftmscan.com/token/0x658b0c7613e890ee50b8c4bc6a3f41ef411208ad,0x658b0c7613e890ee50b8c4bc6a3f41ef411208ad,Fantom Finance: fETH Token,0x51ee3640ceec9b99d5645a150ed63d1c3f393dc22e0c55464308a96998e46db5,https://ftmscan.com/tx/0x51ee3640ceec9b99d5645a150ed63d1c3f393dc22e0c55464308a96998e46db5,1413000
https://ftmscan.com/token/0x04068da6c83afcfa0e13ba15a6696662335d5b75,0x04068da6c83afcfa0e13ba15a6696662335d5b75,Centre: USD Coin,0xca1c5242ac57d3bc87a3bae5fa17f7fd68c443a6be5d8e4532486e86b7d9c781,https://ftmscan.com/tx/0xca1c5242ac57d3bc87a3bae5fa17f7fd68c443a6be5d8e4532486e86b7d9c781,2299270
https://ftmscan.com/token/0xb3654dc3d10ea7645f8319668e8f54d2574fbdc8,0xb3654dc3d10ea7645f8319668e8f54d2574fbdc8,ChainLink: LINK Token,0x86b2232bdf5d96280e36716989cb3fff82b56118db9eee31fd98a810c087796f,https://ftmscan.com/tx/0x86b2232bdf5d96280e36716989cb3fff82b56118db9eee31fd98a810c087796f,2301027
https://ftmscan.com/token/0x321162Cd933E2Be498Cd2267a90534A804051b11,0x321162Cd933E2Be498Cd2267a90534A804051b11,Wrapped BTC Token,0x0184661d24fd191bb3f48e5937e7ac6612e940e2f7a98c294a14b7d1c487d0f8,https://ftmscan.com/tx/0x0184661d24fd191bb3f48e5937e7ac6612e940e2f7a98c294a14b7d1c487d0f8,2300896
https://ftmscan.com/token/0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,Maker: Dai Stablecoin,0x3f67e56ac26a8208cbaf1d3dcc67b0a43aa8ec2ea7c1c324316be67113c3f035,https://ftmscan.com/tx/0x3f67e56ac26a8208cbaf1d3dcc67b0a43aa8ec2ea7c1c324316be67113c3f035,2299245
https://ftmscan.com/token/0x6a07A792ab2965C72a5B8088d3a069A7aC3a993B,0x6a07A792ab2965C72a5B8088d3a069A7aC3a993B,Aave: AAVE Token,0x3030c74cf48346308e2481ac4540b98279d4a9df2319f00d1261fcdbf61ac8e1,https://ftmscan.com/tx/0x3030c74cf48346308e2481ac4540b98279d4a9df2319f00d1261fcdbf61ac8e1,2301053
https://ftmscan.com/token/0x69c744d3444202d35a2783929a0f930f2fbb05ad,0x69c744d3444202d35a2783929a0f930f2fbb05ad,Fantom Finance: Staked Fantom Token,0x76a7e85098cdcdfe8c57697fd3708cdd6e112c6f3dcee319db33320a9f9074df,https://ftmscan.com/tx/0x76a7e85098cdcdfe8c57697fd3708cdd6e112c6f3dcee319db33320a9f9074df,1296816
https://ftmscan.com/token/0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,0x21be370d5312f44cb42ce377bc9b8a0cef1a4c83,Fantom Finance: Wrapped Fantom Token,0x5d0c557090d50a6c78358fa9e2f61bb3943dc555521b4eb33d7e897baaeacc05,https://ftmscan.com/tx/0x5d0c557090d50a6c78358fa9e2f61bb3943dc555521b4eb33d7e897baaeacc05,640717
https://ftmscan.com/token/0xae75A438b2E0cB8Bb01Ec1E1e376De11D44477CC,0xae75A438b2E0cB8Bb01Ec1E1e376De11D44477CC,SushiSwap: SUSHI Token,0xa0eddca07fb4817a42e2c3894f0d5e6038ada8188d4663fc1e24e2c76298a916,https://ftmscan.com/tx/0xa0eddca07fb4817a42e2c3894f0d5e6038ada8188d4663fc1e24e2c76298a916,2300973
https://ftmscan.com/token/0x56ee926bD8c72B2d5fa1aF4d9E4Cbb515a1E3Adc,0x56ee926bD8c72B2d5fa1aF4d9E4Cbb515a1E3Adc,Synthetix: SNX Token,0x7337038608ceb0ea23435d1e234949cd869fa76db4f1a9b54fafceeee55883cc,https://ftmscan.com/tx/0x7337038608ceb0ea23435d1e234949cd869fa76db4f1a9b54fafceeee55883cc,2301065
https://ftmscan.com/token/0x29b0Da86e484E1C0029B56e817912d778aC0EC69,0x29b0Da86e484E1C0029B56e817912d778aC0EC69,Yearn Finance: YFI Token,0xa74a569d54ca9a2f82573e277f96a856e652f97729c4553db655749ed8f14cd0,https://ftmscan.com/tx/0xa74a569d54ca9a2f82573e277f96a856e652f97729c4553db655749ed8f14cd0,2301048
https://ftmscan.com/token/0x1E4F97b9f9F913c46F1632781732927B9019C68b,0x1E4F97b9f9F913c46F1632781732927B9019C68b,Curve.fi: CRV Token,0x4e37cae004759c31f6c7b7e6f5dc943b1956369145f7c22dda3a3cb100038373,https://ftmscan.com/tx/0x4e37cae004759c31f6c7b7e6f5dc943b1956369145f7c22dda3a3cb100038373,2301138
https://ftmscan.com/token/0x46E7628E8b4350b2716ab470eE0bA1fa9e76c6C5,0x46E7628E8b4350b2716ab470eE0bA1fa9e76c6C5,Band Protocol: BAND Token,0xcfe2bc72512c4fd7fdd02297b2cb2bea0b248ba680f7086c2c876cb8d7a2ca41,https://ftmscan.com/tx/0xcfe2bc72512c4fd7fdd02297b2cb2bea0b248ba680f7086c2c876cb8d7a2ca41,2301162
https://ftmscan.com/token/0x078eef5a2fb533e1a4d487ef64b27df113d12c32,0x078eef5a2fb533e1a4d487ef64b27df113d12c32,Fantom Finance: fBand Token,0x31242757408dd2e1a04d80f200d22e0da605a4f77d66e6bd7eb488f0e72c4160,https://ftmscan.com/tx/0x31242757408dd2e1a04d80f200d22e0da605a4f77d66e6bd7eb488f0e72c4160,1412904
